,NIP,Cl_T1
0,N198300511,2
1,N198412339,4
2,N198502208,0
3,N198510292,2
4,N198600228,2
5,N198600899,3
6,N198702410,2
7,N198704237,3
8,N198706532,4
9,N198902201,4
10,N198902913,2
11,N199006074,0
12,N199106382,3
13,N199202365,2
14,N199301061,3
15,N199301601,3
16,N199402447,2
17,N199500115,4
18,N199501223,4
19,N199701151,3
20,N199702270,4
21,N199702998,2
22,N199703916,2
23,N199704298,2
24,N199804148,4
25,N199900994,3
26,N199901170,3
27,N199904079,4
28,N200000242,2
29,N200000372,3
30,N200000791,4
31,N200102831,4
32,N200200738,3
33,N200201750,3
34,N200201832,3
35,N200204146,0
36,N200301671,3
37,N200302052,0
38,N200302575,4
39,N200303315,2
40,N200303693,2
41,N200400662,3
42,N200500254,4
43,N200501731,3
44,N200503450,4
45,N200504430,0
46,N200600743,3
47,N200600841,4
48,N200601293,3
49,N200601652,0
50,N200603450,2
51,N200604577,3
52,N200701005,4
53,N200701843,3
54,N200701980,0
55,N200702163,2
56,N200702938,4
57,N200705092,2
58,N200706622,3
59,N200801968,4
60,N200802092,4
61,N200802103,4
62,N200802194,3
63,N200802253,4
64,N200802981,2
65,N200803270,4
66,N200804605,4
67,N200805703,0
68,N200806496,3
69,N200900366,4
70,N200900380,3
71,N200903189,4
72,N200903854,0
73,N200903897,0
74,N200904151,3
75,N200904254,2
76,N200904623,3
77,N200904972,0
78,N200905507,3
79,N200905749,2
80,N201000969,3
81,N201003278,0
82,N201004076,0
83,N201005274,3
84,N201006229,2
85,N201006713,4
86,N201006915,0
87,N201006939,0
88,N201101562,4
89,N201102217,3
90,N201102366,0
91,N201102487,3
92,N201104285,3
93,N201105263,2
94,N201105723,2
95,N201106594,4
96,N201106775,0
97,N201106871,0
98,N201200769,4
99,N201201037,2
100,N201201591,3
101,N201201727,4
102,N201201829,0
103,N201202367,2
104,N201202658,3
105,N201202930,3
106,N201203100,3
107,N201203378,0
108,N201203646,3
109,N201203856,0
110,N201204512,4
111,N201204874,2
112,N201205073,3
113,N201205149,3
114,N201205940,4
115,N201206329,0
116,N201206459,3
117,N201303568,3
118,N201304212,3
119,N201304295,3
120,N201304664,3
121,N201304742,0
122,N201304833,4
123,N201304875,4
124,N201305180,0
125,N201305357,3
126,N201305580,0
127,N201305679,4
128,N201305765,3
129,N201306207,0
130,N201306481,4
131,N201307669,3
132,N201400337,3
133,N201400750,3
134,N201400893,4
135,N201401154,4
136,N201401267,3
137,N201401275,4
138,N201402294,4
139,N201402450,0
140,N201402464,4
141,N201402594,3
142,N201402747,0
143,N201402874,4
144,N201403201,0
145,N201403231,3
146,N201403736,3
147,N201403762,3
148,N201403835,3
149,N201403980,3
150,N201404118,3
151,N201405759,3
152,N201407093,3
153,N201500553,4
154,N201500660,0
155,N201500989,3
156,N201501780,4
157,N201501838,0
158,N201502590,3
159,N201502656,3
160,N201502664,4
161,N201502685,3
162,N201502877,2
163,N201503003,3
164,N201503063,4
165,N201503259,3
166,N201503772,2
167,N201503922,3
168,N201503990,0
169,N201504281,3
170,N201504323,0
171,N201504689,0
172,N201504734,0
173,N201505285,0
174,N201505841,4
175,N201506332,2
176,N201506622,4
177,N201506765,3
178,N201506798,0
179,N201506900,3
180,N201507075,4
181,N201600360,2
182,N201600522,4
183,N201600638,2
184,N201600746,4
185,N201600921,2
186,N201601079,0
187,N201601477,0
188,N201601495,4
189,N201601533,4
190,N201601545,4
191,N201601947,3
192,N201602132,0
193,N201602241,3
194,N201602601,4
195,N201602880,3
196,N201602884,3
197,N201602984,4
198,N201603181,3
